polis_number,Name,Latitude,Longitude,Hellenicity,Fame,Size,Colonies,Regime,Delian
258,Letrinoi,37.672865,21.431292,most Greek,0.5,0-25 km sq,0,,not in Delian League
259,Marganeis,37.66666667,21.5,most Greek,0.62,0-25 km sq,0,,not in Delian League
260,Metapioi,,,most Greek,0.5,,0,,not in Delian League
261,Opous,38.6306405,23.047878,most Greek,0.25,,0,,not in Delian League
262,Pisa,37.639535,21.653041,most Greek,2.12,200-500 km sq,0,,not in Delian League
263,Pylos,37.899734,21.518025,most Greek,0.5,0-25 km sq,0,,not in Delian League
264,Thraistos,37.468145,22.141115,most Greek,0.37,,0,,not in Delian League
265,Alea,37.794666,22.450785,most Greek,1.37,,0,,not in Delian League
266,Alipheira,37.541836,21.860109,most Greek,1,25-100 km sq,0,,not in Delian League
267,Asea,37.404133,22.261978,most Greek,1.5,25-100 km sq,0,,not in Delian League
268,Dipaia,37.541156,22.254905,most Greek,0.87,,0,,not in Delian League
269,Euaimon,37.468145,22.141115,most Greek,0.5,,0,,not in Delian League
270,Eutaia,37.371704,22.285257,most Greek,0.87,0-25 km sq,0,,not in Delian League
271,Gortys,37.536675,22.03544,most Greek,1.25,25-100 km sq,0,,not in Delian League
272,Halous,37.758337,22.013568,most Greek,0.37,25-100 km sq,0,,not in Delian League
273,Helisson,37.612883,22.217753,most Greek,1.37,0-25 km sq,0,evidence of democracy,not in Delian League
274,Heraia,37.605985,21.85941,most Greek,2.25,200-500 km sq,0,evidence of democracy,not in Delian League
275,Kaphiai,37.7666264,22.262624,most Greek,0.87,200-500 km sq,0,,not in Delian League
276,Kleitor,37.893544,22.123335,most Greek,2,500 km sq or more,0,,not in Delian League
277,Koila,38.49903,26.089078,most Greek,0.12,,0,,not in Delian League
278,Kynaitha,38.030556,22.111538,most Greek,0.5,100-200 km sq,0,,not in Delian League
279,Lousoi,37.969024,22.116811,most Greek,1.37,25-100 km sq,0,,not in Delian League
280,Lykosoura,37.3891025,22.0251905,most Greek,1.25,,0,,not in Delian League
281,Mantinea,37.6173785,22.3925775,most Greek,5.5,200-500 km sq,0,evidence of democracy,not in Delian League
282,Megale polis,37.4124175,22.1273485,most Greek,4.25,200-500 km sq,0,evidence of democracy,not in Delian League
283,Methydrion,37.627412,22.168912,most Greek,1.75,25-100 km sq,0,,not in Delian League
284,Nestane,37.616362,22.467824,most Greek,0.12,0-25 km sq,0,,not in Delian League
285,Nonakris,38.014421,22.241203,most Greek,0.37,0-25 km sq,0,,not in Delian League
286,Orchemenos,37.725196,22.3148815,most Greek,3,100-200 km sq,0,,not in Delian League
287,Oresthasion,37.345994,22.206506,most Greek,1,0-25 km sq,0,,not in Delian League
288,Paion,37.83914,21.981451,most Greek,0.5,,0,,not in Delian League
289,Pallantion,37.462155,22.336587,most Greek,1.37,25-100 km sq,0,,not in Delian League
290,Phara,38.093144,21.717095,most Greek,0.12,,0,,not in Delian League
291,Pheneos,37.919454,22.295238,most Greek,0.87,200-500 km sq,0,,not in Delian League
292,Phigaleia,37.396081,21.8419475,most Greek,2.12,100-200 km sq,0,evidence of democracy,not in Delian League
293,Phorieia,37.468145,22.141115,most Greek,0.12,,0,,not in Delian League
294,Psophis,37.871725,21.892903,most Greek,1.5,200-500 km sq,0,,not in Delian League
295,Pylai,37.716667,22.6,most Greek,0.12,,0,,not in Delian League
296,Stymphalos,37.86388048,22.4607719,most Greek,2.12,100-200 km sq,0,,not in Delian League
297,Tegea,37.4596135,22.424283,most Greek,4.25,200-500 km sq,0,evidence of democracy,not in Delian League
298,Teuthis,37.597441,22.041285,most Greek,0.5,,0,,not in Delian League
299,Thaliades,37.782355,21.947446,most Greek,0.25,,0,,not in Delian League
300,Thelphousa,37.710489,21.87884,most Greek,2,200-500 km sq,0,,not in Delian League
301,Thisoa,37.629132,22.093976,most Greek,0.87,,0,,not in Delian League
302,Torthyneion,37.706671,22.154809,most Greek,0.37,,0,,not in Delian League
303,Trapezous,37.456281,22.060685,most Greek,0.87,0-25 km sq,0,,not in Delian League
304,Epeion,37.56585,21.784671,most Greek,0.62,0-25 km sq,0,,not in Delian League
305,Epitalion,37.632054,21.476013,most Greek,0.5,0-25 km sq,0,,not in Delian League
306,Lepreon,37.432321,21.726002,most Greek,2,100-200 km sq,0,,not in Delian League
307,Makiston,37.60974,21.698461,most Greek,1,100-200 km sq,0,,not in Delian League
308,Noudion,37.468145,22.141115,most Greek,0.12,,0,,not in Delian League
309,Phrixa,37.635009,21.71145,most Greek,0.5,0-25 km sq,0,,not in Delian League
310,Pyrgos,37.41666667,21.66666667,most Greek,0.62,,0,,not in Delian League
311,Skillous,37.609552,21.602752,most Greek,0.75,,0,,not in Delian League
312,Aithaia,37.468145,22.141115,most Greek,1,,0,,not in Delian League
313,Asine,36.792813,21.962964,most Greek,1.75,25-100 km sq,1,,not in Delian League
314,Aulon,37.33333333,21.66666667,most Greek,1.12,0-25 km sq,0,,not in Delian League
315,Kardamyle,36.884777,22.237649,most Greek,0.87,0-25 km sq,0,,not in Delian League
